65607,AmityPlate,184,65609,28,0,1
65626,BambooKnife,10,65609,5,0,1
65656,BambooKnife,10,65609,10,0,1
65660,BambooKnife,10,65609,12,0,1
65673,BambooKnife,10,65609,18,0,1
65674,BambooKnife,10,65609,19,0,1
65678,BambooKnife,10,65609,23,0,1
65644,Buckler,17,65609,29,0,1
65652,Buckler,17,65609,4,0,1
65653,Buckler,17,65609,9,0,1
65654,Buckler,17,65597,10,0,1
65672,Buckler,17,65609,17,0,1
65623,Hood,4,65609,1,0,1
65625,Hood,4,65609,25,0,1
65636,Hood,4,65597,25,0,1
65665,Hood,4,65597,19,0,1
65669,Hood,4,65609,14,0,1
65670,Hood,4,65609,15,0,1
65671,Hood,4,65609,16,0,1
65680,Hood,4,65597,23,0,1
65603,Knife,10,65601,1,0,1
65611,Knife,10,65609,3,0,1
65604,LifeDrug,20,65601,2,0,6
65612,LifeDrug,20,65609,2,0,6
65606,gmsw,280,65597,1,0,1
65638,SmallShield,17,65609,7,0,1
65695,SmallShield,17,65609,0,0,1
65642,WoodenSword,10,65609,8,0,1
65655,WoodenSword,10,65597,11,0,1
65658,WoodenSword,10,65609,11,0,1
65661,WoodenSword,10,65597,15,0,1
65664,WoodenSword,10,65597,18,0,1
65668,WoodenSword,10,65609,13,0,1
65676,WoodenSword,10,65609,21,0,1
65677,WoodenSword,10,65609,22,0,1
65621,WoodenSword,10,65609,27,0,1
65601,루비원석,252,65597,0,0,2
65617,IFAB,177,65597,14,0,1
65602,튜토리얼입장,26,65601,0,0,2
65610,튜토리얼입장,26,65597,20,0,3
65627,플러스경험치,268,65609,6,0,2
